strategy,games_played,win_rate
Safe Exit,1000,10.233333
Safe Exit,2000,9.766667
Safe Exit,3000,9.827778
Safe Exit,4000,10.120833
Safe Exit,5000,10.066667
Safe Exit,6000,10.013889
Safe Exit,7000,9.783333
Safe Exit,8000,9.779167
Safe Exit,9000,10.042593
Safe Exit,10000,10.018333
Safe Exit,11000,10.093939
Safe Exit,12000,9.936111
Safe Exit,13000,9.891026
Safe Exit,14000,9.923810
Safe Exit,15000,9.945556
Safe Exit,16000,9.952083
Safe Exit,17000,9.925490
Safe Exit,18000,9.879630
Safe Exit,19000,9.959649
Safe Exit,20000,10.014167
Safe Exit,21000,9.930159
Safe Exit,22000,10.003788
Safe Exit,23000,10.051449
Safe Exit,24000,10.053472
Safe Exit,25000,10.081333
Safe Exit,26000,10.110897
Safe Exit,27000,10.047531
Safe Exit,28000,10.061905
Safe Exit,29000,10.004598
Safe Exit,30000,10.002778
Safe Exit,31000,9.980108
Safe Exit,32000,9.977604
Safe Exit,33000,9.944949
Safe Exit,34000,9.946569
Safe Exit,35000,9.966667
Safe Exit,36000,9.935648
Safe Exit,37000,9.910360
Safe Exit,38000,9.987281
Safe Exit,39000,9.995299
Safe Exit,40000,9.987917
Safe Exit,41000,9.999187
Safe Exit,42000,9.963492
Safe Exit,43000,9.925194
Safe Exit,44000,9.956439
Safe Exit,45000,9.952963
Safe Exit,46000,9.957246
Safe Exit,47000,9.929433
Safe Exit,48000,9.925694
Safe Exit,48450,9.927417
Pot 60,1000,16.250000
Pot 60,2000,17.150000
Pot 60,3000,17.583333
Pot 60,4000,17.262500
Pot 60,5000,17.861667
Pot 60,6000,17.826389
Pot 60,7000,17.825000
Pot 60,8000,17.728125
Pot 60,9000,17.639815
Pot 60,10000,17.752500
Pot 60,11000,17.955303
Pot 60,12000,17.929861
Pot 60,13000,18.119872
Pot 60,14000,18.095833
Pot 60,15000,18.012778
Pot 60,16000,18.034896
Pot 60,17000,17.987745
Pot 60,18000,17.996759
Pot 60,19000,17.973246
Pot 60,20000,17.883750
Pot 60,21000,17.827381
Pot 60,22000,17.745076
Pot 60,23000,17.720290
Pot 60,24000,17.748611
Pot 60,25000,17.805667
Pot 60,26000,17.806731
Pot 60,27000,17.899074
Pot 60,28000,17.868750
Pot 60,29000,17.870690
Pot 60,30000,17.832778
Pot 60,31000,17.785484
Pot 60,32000,17.743750
Pot 60,33000,17.707828
Pot 60,34000,17.665441
Pot 60,35000,17.719762
Pot 60,36000,17.733796
Pot 60,37000,17.709910
Pot 60,38000,17.721491
Pot 60,39000,17.736752
Pot 60,40000,17.726667
