target,appearances,win_rate,ci95
50,65450,21.235167,0.311713
60,65450,22.130761,0.315338
70,65450,22.834989,0.318741
80,65450,23.704100,0.323911
90,65450,23.899924,0.325773
100,65450,23.971861,0.324052
110,65450,24.052712,0.321152
120,65450,23.408072,0.315092
130,65450,23.532595,0.313806
140,65450,23.072702,0.310145
150,65450,23.482684,0.313512
160,65450,22.977591,0.309506
170,65450,23.101477,0.308959
180,65450,22.981029,0.306556
190,65450,23.199898,0.304705
200,65450,22.834097,0.297798
210,65450,22.441558,0.290588
220,65450,22.562643,0.285255
230,65450,22.514260,0.278513
240,65450,22.675579,0.274799
250,65450,22.863636,0.271280
260,65450,23.006621,0.268431
270,65450,22.915202,0.264818
280,65450,23.399287,0.266420
290,65450,24.033104,0.268267
300,65450,24.427426,0.270510
310,65450,25.528393,0.275858
320,65450,26.039598,0.278205
330,65450,27.331933,0.284886
340,65450,27.949962,0.288503
350,65450,29.276292,0.295544
360,65450,30.237586,0.300539
370,65450,31.278711,0.307981
380,65450,32.204864,0.313271
390,65450,34.109244,0.322509
400,65450,34.784441,0.328834
