bucket_start,bucket_end,count,percent
0,50,2673,26.730000
50,100,2501,25.010000
100,150,1159,11.590000
150,200,998,9.980000
200,250,541,5.410000
250,300,240,2.400000
300,350,262,2.620000
350,400,256,2.560000
400,450,194,1.940000
450,500,107,1.070000
500,550,90,0.900000
550,600,45,0.450000
600,650,54,0.540000
650,700,60,0.600000
700,750,62,0.620000
750,800,58,0.580000
800,850,46,0.460000
850,900,65,0.650000
900,950,27,0.270000
950,1000,23,0.230000
1000,1050,15,0.150000
1050,1100,16,0.160000
1100,1150,15,0.150000
1150,overflow,493,4.930000
