bucket_start,bucket_end,count,percent
0,200,7331,73.310000
200,400,1299,12.990000
400,600,436,4.360000
600,800,234,2.340000
800,1000,161,1.610000
1000,1200,54,0.540000
1200,1400,51,0.510000
1400,1600,54,0.540000
1600,1800,49,0.490000
1800,2000,28,0.280000
2000,2200,25,0.250000
2200,2400,11,0.110000
2400,2600,23,0.230000
2600,2800,19,0.190000
2800,3000,16,0.160000
3000,3200,16,0.160000
3200,3400,15,0.150000
3400,3600,11,0.110000
3600,3800,9,0.090000
3800,4000,7,0.070000
4000,4200,7,0.070000
4200,4400,9,0.090000
4400,4600,5,0.050000
4600,4800,2,0.020000
4800,5000,3,0.030000
5000,5200,2,0.020000
5200,5400,6,0.060000
5400,5600,5,0.050000
5600,5800,4,0.040000
5800,6000,2,0.020000
6000,6200,5,0.050000
6200,6400,5,0.050000
6400,overflow,96,0.960000
