bucket_start,bucket_end,count,percent
0,250,0,0.000000
250,500,16,0.160000
500,750,231,2.310000
750,1000,605,6.050000
1000,1250,983,9.830000
1250,1500,1037,10.370000
1500,1750,947,9.470000
1750,2000,751,7.510000
2000,2250,631,6.310000
2250,2500,551,5.510000
2500,2750,471,4.710000
2750,3000,385,3.850000
3000,3250,317,3.170000
3250,3500,278,2.780000
3500,3750,229,2.290000
3750,4000,197,1.970000
4000,4250,176,1.760000
4250,4500,154,1.540000
4500,4750,126,1.260000
4750,5000,115,1.150000
5000,5250,97,0.970000
5250,5500,95,0.950000
5500,5750,104,1.040000
5750,6000,68,0.680000
6000,6250,56,0.560000
6250,6500,65,0.650000
6500,6750,54,0.540000
6750,7000,59,0.590000
7000,7250,52,0.520000
7250,7500,47,0.470000
7500,7750,58,0.580000
7750,8000,55,0.550000
8000,8250,46,0.460000
8250,8500,32,0.320000
8500,8750,29,0.290000
8750,9000,33,0.330000
9000,9250,30,0.300000
9250,9500,19,0.190000
9500,9750,28,0.280000
9750,10000,23,0.230000
10000,10250,18,0.180000
10250,10500,11,0.110000
10500,10750,21,0.210000
10750,11000,12,0.120000
11000,11250,14,0.140000
11250,11500,13,0.130000
11500,11750,6,0.060000
11750,12000,14,0.140000
12000,12250,20,0.200000
12250,12500,11,0.110000
12500,12750,15,0.150000
12750,13000,10,0.100000
13000,13250,14,0.140000
13250,13500,11,0.110000
13500,13750,10,0.100000
13750,14000,4,0.040000
14000,14250,17,0.170000
14250,14500,8,0.080000
14500,14750,15,0.150000
14750,15000,11,0.110000
15000,15250,17,0.170000
15250,15500,8,0.080000
15500,15750,14,0.140000
15750,16000,10,0.100000
16000,16250,11,0.110000
16250,16500,7,0.070000
16500,16750,6,0.060000
16750,17000,6,0.060000
17000,17250,7,0.070000
17250,17500,5,0.050000
17500,17750,5,0.050000
17750,18000,7,0.070000
18000,18250,6,0.060000
18250,18500,4,0.040000
18500,18750,3,0.030000
18750,19000,4,0.040000
19000,19250,4,0.040000
19250,19500,5,0.050000
19500,19750,3,0.030000
19750,20000,7,0.070000
20000,20250,5,0.050000
20250,20500,5,0.050000
20500,20750,1,0.010000
20750,21000,3,0.030000
21000,21250,3,0.030000
21250,21500,2,0.020000
21500,21750,2,0.020000
21750,22000,1,0.010000
22000,22250,4,0.040000
22250,22500,1,0.010000
22500,22750,3,0.030000
22750,23000,5,0.050000
23000,23250,5,0.050000
23250,23500,1,0.010000
23500,23750,6,0.060000
23750,24000,1,0.010000
24000,24250,3,0.030000
24250,24500,2,0.020000
24500,24750,5,0.050000
24750,25000,2,0.020000
25000,25250,5,0.050000
25250,25500,6,0.060000
25500,25750,1,0.010000
25750,26000,3,0.030000
26000,26250,5,0.050000
26250,26500,6,0.060000
26500,26750,4,0.040000
26750,27000,3,0.030000
27000,27250,4,0.040000
27250,27500,4,0.040000
27500,27750,2,0.020000
27750,28000,3,0.030000
28000,28250,3,0.030000
28250,28500,1,0.010000
28500,28750,0,0.000000
28750,29000,2,0.020000
29000,29250,3,0.030000
29250,29500,3,0.030000
29500,29750,5,0.050000
29750,30000,1,0.010000
30000,30250,4,0.040000
30250,30500,3,0.030000
30500,30750,2,0.020000
30750,31000,0,0.000000
31000,31250,2,0.020000
31250,31500,3,0.030000
31500,31750,3,0.030000
31750,32000,4,0.040000
32000,32250,1,0.010000
32250,32500,3,0.030000
32500,32750,0,0.000000
32750,33000,2,0.020000
33000,33250,2,0.020000
33250,33500,1,0.010000
33500,33750,1,0.010000
33750,34000,3,0.030000
34000,34250,1,0.010000
34250,34500,3,0.030000
34500,34750,1,0.010000
34750,35000,1,0.010000
35000,35250,3,0.030000
35250,35500,1,0.010000
35500,35750,0,0.000000
35750,36000,1,0.010000
36000,36250,0,0.000000
36250,36500,3,0.030000
36500,36750,0,0.000000
36750,37000,1,0.010000
37000,37250,1,0.010000
