percentile,score
1,15.000000
2,17.000000
3,19.000000
4,20.000000
5,21.000000
6,22.000000
7,23.000000
8,24.000000
9,24.000000
10,25.000000
11,26.000000
12,27.000000
13,28.000000
14,29.000000
15,30.000000
16,32.000000
17,33.000000
18,34.000000
19,35.000000
20,37.000000
21,38.000000
22,40.000000
23,42.000000
24,44.000000
25,46.000000
26,48.000000
27,50.000000
28,52.000000
29,54.710000
30,57.000000
31,60.000000
32,63.000000
33,66.000000
34,69.000000
35,74.000000
36,77.000000
37,79.000000
38,80.000000
39,82.000000
40,83.000000
41,84.000000
42,85.000000
43,86.000000
44,87.000000
45,88.000000
46,89.540000
47,91.000000
48,92.000000
49,94.000000
50,96.000000
51,98.000000
52,100.000000
53,102.000000
54,105.000000
55,108.000000
56,111.000000
57,115.000000
58,119.000000
59,123.410000
60,129.000000
61,137.000000
62,144.000000
63,148.000000
64,152.000000
65,157.000000
66,162.000000
67,167.000000
68,172.000000
69,177.000000
70,181.000000
71,186.000000
72,192.000000
73,198.000000
74,204.000000
75,210.000000
76,218.240000
77,227.230000
78,240.000000
79,254.000000
80,272.000000
81,296.000000
82,317.000000
83,336.000000
84,353.000000
85,370.000000
86,392.140000
87,418.000000
88,444.000000
89,484.000000
90,530.100000
91,632.180000
92,720.160000
93,797.210000
94,890.060000
95,1115.050000
96,1510.080000
97,2018.180000
98,3044.080000
99,6203.170000
