percentile,score
1,664.000000
2,724.980000
3,780.970000
4,832.000000
5,885.000000
6,919.000000
7,954.000000
8,983.000000
9,1014.000000
10,1048.900000
11,1075.000000
12,1098.000000
13,1123.000000
14,1145.860000
15,1167.850000
16,1189.000000
17,1215.000000
18,1239.000000
19,1265.000000
20,1286.000000
21,1311.790000
22,1335.000000
23,1358.000000
24,1382.000000
25,1406.000000
26,1431.000000
27,1455.000000
28,1485.000000
29,1506.000000
30,1532.700000
31,1560.690000
32,1586.000000
33,1612.000000
34,1641.000000
35,1669.000000
36,1693.000000
37,1715.630000
38,1743.620000
39,1775.610000
40,1809.000000
41,1840.000000
42,1868.580000
43,1904.000000
44,1932.560000
45,1975.550000
46,2009.540000
47,2058.000000
48,2090.520000
49,2124.510000
50,2163.000000
51,2206.490000
52,2248.480000
53,2287.000000
54,2327.000000
55,2370.450000
56,2419.440000
57,2473.430000
58,2527.000000
59,2578.410000
60,2635.000000
61,2684.390000
62,2741.000000
63,2800.370000
64,2866.000000
65,2928.350000
66,2993.000000
67,3064.000000
68,3142.320000
69,3231.000000
70,3312.000000
71,3387.000000
72,3492.120000
73,3598.000000
74,3719.260000
75,3843.250000
76,3966.480000
77,4093.460000
78,4243.440000
79,4406.210000
80,4576.200000
81,4794.570000
82,4997.540000
83,5255.340000
84,5510.320000
85,5756.000000
86,6135.260000
87,6579.000000
88,7009.360000
89,7515.110000
90,7932.300000
91,8596.270000
92,9501.400000
93,10746.980000
94,12665.660000
95,14790.750000
96,17592.840000
97,24600.990000
98,33829.840000
99,64163.450000
