strategy,mean,median,p25,p75,p90,p99,maximum,bust_rate,oracle_capture,oracle_capture_pooled
Safe Exit,52.5094,26.0000,20.0000,84.0000,90.0000,151.0000,210,0.0000,50.7261,1.2652
Safe Exit + 1 More,56.4925,32.0000,23.0000,90.0000,154.0000,288.0000,420,17.0200,44.1472,1.3611
Pot 60,60.8828,77.0000,0.0000,86.0000,104.0000,151.0000,210,30.8200,39.9653,1.4669
Pot 80,62.5115,82.0000,0.0000,89.0000,143.0000,156.0000,210,37.4600,36.5858,1.5062
Pot 100,66.7211,0.0000,0.0000,142.0000,172.0000,196.0000,210,51.7400,29.1215,1.6076
Pot 125,68.9267,0.0000,0.0000,151.0000,192.0000,240.0000,248,59.2600,25.0280,1.6607
Pot 150,70.2605,0.0000,0.0000,164.0000,210.0000,290.0000,298,63.3300,22.8452,1.6929
Safe Exit + 3 More,63.3352,40.0000,0.0000,96.0000,182.0000,370.0200,1184,42.4700,32.6403,1.5260
Fixed Pot 200,72.9162,0.0000,0.0000,201.0000,298.0000,386.0000,398,73.3100,16.9810,1.7569
Safe Exit + 5 More,68.1990,0.0000,0.0000,92.0000,206.0000,674.0100,2496,60.3500,23.3156,1.6432
