strategy,Safe Exit,Pot 60,Pot 80,Pot 100,Pot 125,Pot 150,Fixed Pot 200,Pot 211 Counter,Adaptive 150/200/300,State Delta,One More,Three More,Five More,Double Hunter,Protect Lead,Catch Up,Adaptive Rank,Solution 4o,Solution GPT-3.5,Solution GPT-5
Safe Exit,0.5000,0.1935,0.2261,0.2492,0.2627,0.2787,0.3120,0.3254,0.2642,0.2701,0.3238,0.3362,0.3859,0.2994,0.1680,0.2115,0.1448,0.5000,0.6244,0.2460
Pot 60,0.8065,0.5000,0.3599,0.3637,0.3643,0.3682,0.3964,0.3861,0.3307,0.3126,0.6222,0.5014,0.4820,0.4234,0.5000,0.3115,0.2791,0.8042,0.9080,0.3274
Pot 80,0.7739,0.6401,0.5000,0.3844,0.3744,0.3824,0.4164,0.4209,0.3329,0.3207,0.6229,0.5219,0.5020,0.4587,0.3615,0.2965,0.3663,0.7848,0.8650,0.3428
Pot 100,0.7508,0.6363,0.6156,0.5000,0.3837,0.4104,0.4176,0.4254,0.3175,0.3206,0.6889,0.5765,0.5263,0.5185,0.6158,0.6101,0.6477,0.7649,0.8785,0.5004
Pot 125,0.7373,0.6357,0.6256,0.6163,0.5000,0.3707,0.4231,0.4285,0.3055,0.2826,0.6771,0.5922,0.5759,0.5557,0.8240,0.5833,0.7406,0.7638,0.8612,0.5615
Pot 150,0.7213,0.6318,0.6176,0.5896,0.6293,0.5000,0.4090,0.4213,0.2518,0.2595,0.6766,0.5943,0.5752,0.5627,0.7735,0.5968,0.6700,0.7408,0.8570,0.5668
Fixed Pot 200,0.6880,0.6036,0.5836,0.5824,0.5769,0.5910,0.5000,0.3609,0.5000,0.5000,0.6542,0.5899,0.5515,0.5708,0.6523,0.6038,0.6058,0.7098,0.8213,0.6072
Pot 211 Counter,0.6746,0.6139,0.5791,0.5746,0.5715,0.5787,0.6391,0.5000,0.5590,0.5676,0.6455,0.5890,0.5376,0.5850,0.6407,0.6015,0.5955,0.7105,0.8123,0.6183
Adaptive 150/200/300,0.7358,0.6693,0.6671,0.6825,0.6945,0.7482,0.5000,0.4410,0.5000,0.5000,0.7126,0.6376,0.5596,0.6469,0.7397,0.6640,0.6767,0.7296,0.8013,0.6513
State Delta,0.7299,0.6874,0.6793,0.6794,0.7174,0.7405,0.5000,0.4324,0.5000,0.5000,0.6963,0.6189,0.5535,0.6459,0.7610,0.6673,0.6636,0.7364,0.8004,0.6384
One More,0.6762,0.3778,0.3771,0.3111,0.3229,0.3234,0.3458,0.3545,0.2874,0.3037,0.5000,0.3764,0.4155,0.3508,0.3067,0.2652,0.2851,0.6765,0.7914,0.2981
Three More,0.6638,0.4986,0.4781,0.4235,0.4078,0.4057,0.4101,0.4110,0.3624,0.3811,0.6236,0.5000,0.4279,0.4548,0.4617,0.4214,0.4422,0.6787,0.8456,0.4165
Five More,0.6141,0.5180,0.4980,0.4737,0.4241,0.4248,0.4485,0.4624,0.4404,0.4465,0.5845,0.5721,0.5000,0.4996,0.4910,0.4464,0.4659,0.6425,0.8070,0.4580
Double Hunter,0.7006,0.5766,0.5413,0.4815,0.4443,0.4373,0.4292,0.4150,0.3531,0.3541,0.6492,0.5452,0.5004,0.5000,0.5619,0.4862,0.5197,0.7344,0.8650,0.4743
Protect Lead,0.8320,0.5000,0.6385,0.3842,0.1760,0.2265,0.3477,0.3593,0.2603,0.2390,0.6933,0.5383,0.5090,0.4381,0.5000,0.4001,0.4438,0.8267,0.8505,0.3096
Catch Up,0.7885,0.6885,0.7035,0.3899,0.4167,0.4032,0.3962,0.3985,0.3360,0.3327,0.7348,0.5786,0.5536,0.5138,0.5999,0.5000,0.5792,0.8208,0.9048,0.4666
Adaptive Rank,0.8552,0.7209,0.6337,0.3523,0.2594,0.3300,0.3942,0.4045,0.3233,0.3364,0.7149,0.5578,0.5341,0.4803,0.5562,0.4208,0.5000,0.8562,0.8656,0.3615
Solution 4o,0.5000,0.1958,0.2152,0.2351,0.2362,0.2592,0.2902,0.2895,0.2704,0.2636,0.3235,0.3213,0.3575,0.2656,0.1733,0.1792,0.1438,0.5000,0.5416,0.2274
Solution GPT-3.5,0.3756,0.0920,0.1350,0.1215,0.1388,0.1430,0.1787,0.1877,0.1987,0.1996,0.2086,0.1544,0.1930,0.1350,0.1495,0.0952,0.1344,0.4584,0.5000,0.0991
Solution GPT-5,0.7540,0.6726,0.6572,0.4996,0.4385,0.4332,0.3928,0.3817,0.3487,0.3616,0.7019,0.5835,0.5420,0.5257,0.6904,0.5334,0.6385,0.7726,0.9009,0.5000
