rank,strategy,win_pct,outright_pct,avg_score
1,State Delta,32.9200,25.3148,746.3936
2,Adaptive 150/200/300,32.3706,24.3793,747.9872
3,Solution GPT-5,21.4004,20.0179,725.3889
4,Pot 211 Counter,19.5751,16.3312,735.1218
5,Five More,17.8949,17.8426,692.6742
6,Fixed Pot 200,14.8212,11.6283,730.5024
7,Adaptive Rank,14.4895,13.9656,698.9124
8,Three More,10.9120,10.8751,642.7111
9,Catch Up,10.7426,10.5345,682.1684
10,Pot 150,10.4934,9.6151,702.6711
11,Double Hunter,10.1605,10.0709,659.9909
12,Pot 125,8.9960,8.2183,690.7204
13,Pot 100,8.4827,8.1886,669.1751
14,Pot 80,8.2592,8.0685,628.7919
15,Pot 60,7.7736,7.5509,610.6583
16,Protect Lead,6.9853,6.4827,680.0088
17,One More,5.9252,5.8917,571.7305
18,Safe Exit,3.7679,3.0157,525.1434
19,Solution 4o,3.5756,2.8400,550.8833
20,Solution GPT-3.5,0.4543,0.4495,99.4704
