rank,strategy,win_pct,outright_pct,avg_score
1,State Delta,48.4593,43.1197,739.4030
2,Adaptive 150/200/300,48.2088,42.5753,741.0346
3,Pot 211 Counter,37.3089,34.2214,734.6144
4,Solution GPT-5,33.8943,32.5015,707.4154
5,Fixed Pot 200,33.6858,30.1589,730.3977
6,Five More,29.2399,29.1646,694.2560
7,Pot 150,28.2343,26.8772,703.0606
8,Adaptive Rank,26.3910,25.4897,677.4930
9,Pot 125,26.0706,24.4985,690.6790
10,Catch Up,25.7826,25.4768,672.3993
11,Double Hunter,24.0857,23.9469,660.3549
12,Pot 100,23.3364,22.7528,669.1465
13,Three More,22.7204,22.6646,642.3562
14,Pot 80,19.4057,18.9902,628.4611
15,Protect Lead,19.0116,17.9257,668.7942
16,Pot 60,17.7171,17.0588,610.9103
17,One More,14.4372,14.3860,571.4619
18,Safe Exit,9.9492,8.8782,524.9902
19,Solution 4o,9.1017,8.0593,550.0176
20,Solution GPT-3.5,2.9598,2.9391,142.1741
